stationid,stationname,stationno,lat,lon,nearbusstcnt,nearbusstno,id
9996,"미사","5호선",37.560927,127.193877,8.0,"227509530,227507060,227506970,227000683,227000660,227000514,227000506,227000074",1
9995,"강일","5호선",37.55749,127.17593,7.0,"124900060,124000469,124000461,124000407,124000402,124000368,124000367",2
4929,"김포공항","김포골드라인",37.5621255,126.801804,10.0,"115507770,115507760,115000930,115000928,115000639,115000637,115000617,115000602,115000298,115000297",3
4928,"고촌","김포골드라인",37.601243,126.770345,3.0,"232000562,232000432,232000356",4
4927,"풍무","김포골드라인",37.612488,126.732387,9.0,"232518340,232514320,232513540,232507000,232000864,232000429,232000359,232000325,232000304",5
4926,"사우(김포시청)","김포골드라인",37.620249,126.719731,21.0,"277102469,232519130,232519100,232514260,232514250,232512720,232509740,232508410,232000968,232000769,232000757,232000657,232000575,232000542,232000484,232000480,232000479,232000427,232000426,232000362,232000063",6
4925,"걸포북변","김포골드라인",37.63165,126.705975,10.0,"232001107,232000696,232000695,232000673,232000605,232000330,232000329,232000303,232000078,232000016",7
4924,"운양","김포골드라인",37.653867,126.68393,13.0,"277102734,277102332,232510550,232505260,232000863,232000727,232000726,232000079,232000050,232000048,232000047,232000010,232000004",8
4923,"장기","김포골드라인",37.643986,126.669017,8.0,"232000692,232000691,232000554,232000553,232000541,232000540,232000518,232000517",9
4922,"마산","김포골드라인",37.640732,126.644344,16.0,"232599999,232515850,232515440,232515050,232000919,232000918,232000834,232000832,232000784,232000783,232000781,232000777,232000009,232000008,232000007,232000006",10
4921,"구래","김포골드라인",37.645384,126.628633,12.0,"232517240,232517230,232512570,232511460,232000725,232000724,232000536,232000494,232000488,232000138,232000073,232000027",11
4920,"양촌","김포골드라인",37.642379,126.614309,4.0,"232000452,232000449,232000209,232000206",12
4815,"원시","서해선",37.302371,126.786691,8.0,"217000593,217000584,217000292,217000291,217000290,217000289,217000122,217000005",13
4814,"원곡","서해선",37.31321,126.796261,6.0,"217000716,217000715,217000652,217000530,217000286,217000193",14
4813,"초지","서해선",37.3201325,126.80703,4.0,"217000793,217000792,217000061,217000054",15
4812,"선부","서해선",37.334353,126.809904,11.0,"217000735,217000734,217000668,217000253,217000226,217000225,217000224,217000147,217000146,217000145,217000052",16
4811,"달미","서해선",37.348847,126.809409,4.0,"217000797,217000794,217000630,217000629",17
4810,"시흥능곡","서해선",37.369864,126.808573,10.0,"224001134,224001131,224001084,224001083,224000854,224000853,224000776,224000775,224000583,224000540",18
4809,"시흥시청","서해선",37.382223,126.805625,2.0,"224000586,224000538",19
4808,"신현","서해선",37.409008,126.788017,4.0,"224000592,224000532,224000027,224000025",20
4807,"신천","서해선",37.439066,126.786788,16.0,"224513710,224513700,224510180,224510090,224001054,224000977,224000976,224000972,224000971,224000936,224000935,224000525,224000445,224000347,224000340,224000299",21
4806,"시흥대야","서해선",37.450145,126.793041,15.0,"274000384,224513290,224513000,224001127,224001038,224001037,224000975,224000974,224000873,224000872,224000599,224000455,224000452,224000377,224000374",22
4805,"소새울","서해선",37.468467,126.797252,15.0,"277102376,211000217,211000211,211000183,211000179,211000178,211000167,211000166,211000157,211000152,211000151,211000012,211000011,211000009,211000008",23
4804,"소사","서해선",37.483016,126.7952315,12.0,"211000125,211000124,211000120,211000106,211000016,211000001,210000388,210000312,210000186,210000172,210000098,210000033",24
4713,"신설동","우이신설선",37.57563,127.024269333333,13.0,"105900029,105000553,105000552,105000487,105000486,105000485,105000426,105000077,105000019,105000018,105000008,100000191,100000147",25
4712,"보문","우이신설선",37.58528,127.019366,7.0,"107000230,107000202,107000201,107000200,107000199,107000090,107000089",26
4711,"성신여대입구(돈암)","우이신설선",37.5925395,127.0164785,17.0,"277104575,277104574,107900280,107900259,107900220,107900202,107900096,107900095,107900094,107000210,107000209,107000175,107000174,107000086,107000085,107000008,107000007",27
4710,"정릉","우이신설선",37.603133,127.013396,25.0,"107900325,107900324,107900323,107900322,107900321,107900320,107900272,107900271,107900268,107900263,107000515,107000268,107000266,107000234,107000171,107000170,107000169,107000168,107000162,107000080,107000079,107000030,107000029,107000028,107000027",28
4709,"북한산보국문","우이신설선",37.612072,127.008251,15.0,"107900278,107900243,107900241,107900233,107900133,107900066,107900002,107000519,107000518,107000229,107000228,107000076,107000075,107000074,107000073",29
4708,"솔샘","우이신설선",37.620238,127.013626,14.0,"108900250,108900248,108900155,108900029,108000368,108000367,108000198,108000197,108000138,108000137,108000136,108000135,108000134,108000133",30
4707,"삼양사거리","우이신설선",37.621337,127.020473,11.0,"108900249,108900242,108900238,108000132,108000131,108000083,108000082,108000077,108000076,108000075,108000074",31
4706,"삼양","우이신설선",37.626914,127.018106,11.0,"108900173,108900172,108900128,108900123,108900121,108900079,108900075,108900070,108900065,108000073,108000072",32
4705,"화계","우이신설선",37.634133,127.017511,20.0,"108900231,108900230,108900229,108900228,108900208,108900207,108900205,108900113,108900101,108900081,108000069,108000068,108000055,108000054,108000053,108000052,108000051,108000050,108000047,108000046",33
4704,"가오리","우이신설선",37.641537,127.016789,8.0,"108900236,108900235,108900234,108900233,108900093,108900054,108000035,108000034",34
4703,"4.19민주묘지","우이신설선",37.649502,127.013684,8.0,"109000135,108000370,108000190,108000023,108000022,108000021,108000020,108000019",35
4702,"솔밭공원","우이신설선",37.65603,127.013273,11.0,"109900105,109900102,109900063,109900040,109900037,109900032,109000134,109000133,109000116,109000115,108000018",36
4701,"북한산우이","우이신설선",37.662909,127.012706,18.0,"109000220,108900274,108900216,108900150,108900042,108000385,108000384,108000383,108000382,108000202,108000201,108000199,108000194,108000193,108000016,108000015,108000014,108000013",37
4615,"탑석","의정부선",37.733579,127.088704,13.0,"207511200,207511100,207511090,207000582,207000578,207000577,207000576,207000310,207000243,207000241,207000239,207000119,207000106",38
4614,"송산","의정부선",37.737279,127.087159,12.0,"207900016,207900006,207511340,207511330,207511320,207000581,207000579,207000516,207000515,207000514,207000454,207000243",39
4613,"어룡","의정부선",37.742802,127.085035,12.0,"207511280,207511260,207511030,207511020,207000580,207000251,207000250,207000249,207000147,207000128,207000112,207000111",40
4612,"곤제","의정부선",37.750471,127.083715,6.0,"277103545,277102475,274113262,207512190,207000583,207000505",41
4611,"효자","의정부선",37.754025,127.076902,10.0,"207512070,207512060,207000268,207000267,207000206,207000201,207000182,207000173,207000097,207000096",42
4610,"경기도청북부청사","의정부선",37.75059,127.071495,25.0,"274113260,207510860,207510850,207509460,207506180,207000621,207000554,207000553,207000552,207000551,207000399,207000289,207000288,207000205,207000204,207000203,207000202,207000144,207000143,207000132,207000131,207000099,207000098,207000095,207000094",43
4609,"새말","의정부선",37.748885,127.06362,13.0,"277102814,207510880,207510510,207000481,207000290,207000186,207000169,207000141,207000133,207000102,207000101,207000092,207000091",44
4608,"동오","의정부선",37.745271,127.056947,22.0,"274170126,274000220,274000219,207511360,207511350,207510280,207510270,207508430,207000614,207000613,207000594,207000423,207000240,207000200,207000190,207000187,207000168,207000165,207000164,207000140,207000135,207000134",45
4607,"의정부중앙","의정부선",37.743676,127.049565,13.0,"277102611,207512690,207511590,207509370,207509320,207000588,207000487,207000486,207000455,207000167,207000090,207000033,207000030",46
4606,"흥선","의정부선",37.743302,127.037023,11.0,"207502320,207000510,207000509,207000272,207000271,207000264,207000263,207000222,207000192,207000071,207000035",47
4605,"의정부시청","의정부선",37.739256,127.034781,8.0,"207509350,207509190,207000359,207000223,207000222,207000122,207000071,207000070",48
4604,"경전철의정부","의정부선",37.737202,127.043257,15.0,"207512120,207510780,207510770,207510430,207509660,207507680,207507670,207507660,207507650,207506150,207000600,207000408,207000121,207000120,207000104",49
4603,"범골","의정부선",37.728755,127.04353,15.0,"207512220,207512210,207512150,207512140,207512050,207512040,207512030,207510690,207510680,207510650,207510640,207000327,207000326,207000325,207000324",50
4602,"회룡","의정부선",37.724711,127.0472165,17.0,"207512560,207510620,207510180,207000638,207000637,207000636,207000635,207000634,207000633,207000598,207000329,207000328,207000207,207000069,207000053,207000018,207000004",51
4601,"발곡","의정부선",37.727048,127.052803,7.0,"207512640,207512630,207000502,207000501,207000018,207000017,207000005",52
4517,"전대.에버랜드","에버라인선",37.285342,127.219561,10.0,"228002142,228002141,228001161,228000399,228000398,228000397,228000396,228000392,228000391,228000388",53
4515,"둔전","에버라인선",37.267051,127.21364,12.0,"228002150,228001777,228001719,228001297,228001151,228001150,228001149,228000329,228000328,228000313,228000293,228000278",54
4514,"보평","에버라인선",37.258965,127.218457,2.0,"228001519,228001436",55
4513,"고진","에버라인선",37.24484,127.214251,6.0,"228003105,228002140,228001035,228000435,228000322,228000319",56
4512,"운동장.송담대","에버라인선",37.237845,127.209198,4.0,"228000427,228000418,228000321,228000320",57
4511,"김량장","에버라인선",37.237247,127.198781,8.0,"228001715,228001340,228001339,228001331,228001330,228000564,228000447,228000446",58
4510,"명지대","에버라인선",37.237964,127.190294,9.0,"228508980,228002972,228002138,228001338,228001337,228001333,228001332,228000776,228000748",59
4509,"시청.용인대","에버라인선",37.239151,127.178406,10.0,"277104666,277104651,277101982,228002261,228002099,228001743,228001522,228001365,228000779,228000745",60
4508,"삼가","에버라인선",37.242115,127.168075,10.0,"228525640,228525630,228003116,228003115,228002236,228001808,228001360,228001359,228000781,228000742",61
